Action,Points,Condition,Category
Log an urge resisted (via Bee voice note),+5,Per urge logged and not acted on,Urge Management
Weekly gambling-language trend drops,+10,Per week the Bee insights trend line declines,Pattern Tracking
Accountability conversation captured,+3,Per conversation recorded via Bee,Social
Dollar redirected to savings,+1,Per dollar transferred instead of gambled,Financial
Morning GK declaration,+2,Per morning declaration via Bee voice note,Intention Setting
Morning declaration streak (7+ days),x1.5,Multiplier applied to morning declaration points,Streak Bonus
Morning declaration streak (30+ days),x2.0,Multiplier applied to morning declaration points,Streak Bonus
Positive relationship shift flagged by Bee,+15,When Bee surfaces declining gambling social patterns,Social
Weekly GK retrospective completed,+20,Per completed weekly review of Bee summaries,Review
Boss battle survived (3+ urges in one day),x2.0,Double points for all actions that day,Boss Battle
Gambling topics appear in Bee themes,-5,Penalty per occurrence,Penalty
